L			V_Ratio		Volume		Surface		Surface/Volume
53.91   	0.001024	3428    	6.44e+004	20.55   
57.84   	0.0005113	3473    	6.532e+004	20.68   
60.93   	0.0001708	3489    	6.566e+004	20.6    
64.08   	3.286e-006	3490    	6.567e+004	20.8    
L			V_Ratio		Volume		Surface		Surface/Volume
0.09653 	1.708   	65.92   	942.4   	14.3    
5.991   	0.2221  	340.5   	4215    	11.92   
9.823   	0.09462 	619.8   	8573    	15.6    
13.87   	0.06273 	968.8   	1.486e+004	18.02   
17.79   	0.04614 	1379    	2.283e+004	19.44   
21.8    	0.03962 	1897    	3.304e+004	19.72   
25.91   	0.02358 	2326    	4.177e+004	20.33   
28.27   	0.01719 	2696    	4.927e+004	20.25   
33.73   	0.009121	2973    	5.478e+004	19.93   
37.26   	0.004709	3146    	5.833e+004	20.53   
41.14   	0.003437	3299    	6.143e+004	20.19   
44.02   	0.002801	3442    	6.435e+004	20.47   
49.99   	0.001819	3561    	6.678e+004	20.42   
53.89   	0.001072	3642    	6.844e+004	20.42   
57.81   	0.0005499	3690    	6.941e+004	20.33   
61.06   	0.0001744	3707    	6.976e+004	20.88   
64.01   	1.341e-005	3708    	6.979e+004	20.23   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	16.84   	664.1   	903.5   	1.36    
5.827   	0.158   	850.4   	2261    	7.287   
8.08    	0.1142  	1088    	5530    	13.76   
13.8    	0.059   	1413    	1.044e+004	15.11   
17.91   	0.04296 	1800    	1.712e+004	17.28   
21.86   	0.02902 	2181    	2.388e+004	17.71   
25.94   	0.0185  	2519    	3.042e+004	19.39   
29.81   	0.01133 	2789    	3.585e+004	20.07   
33.7    	0.005764	2963    	3.946e+004	20.72   
36.32   	0.002753	3060    	4.148e+004	20.91   
40.54   	0.001112	3108    	4.248e+004	20.78   
45.71   	0.0002625	3122    	4.278e+004	20.67   
49.45   	5.716e-005	3126    	4.285e+004	20.74   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1305  	25.64   	1038    	1164    	1.121   
5.945   	0.2242  	1312    	2462    	4.745   
9.454   	0.1768  	1799    	6093    	7.456   
13.76   	0.08488 	2264    	1.184e+004	12.35   
17.75   	0.06176 	2810    	1.934e+004	13.73   
21.75   	0.04154 	3351    	2.759e+004	15.26   
25.94   	0.03458 	3982    	3.664e+004	14.35   
29.97   	0.02235 	4521    	4.535e+004	16.16   
33.74   	0.01497 	4975    	5.265e+004	16.08   
37.9    	0.008686	5306    	5.842e+004	17.46   
41.72   	0.004646	5519    	6.21e+004	17.25   
45.77   	0.002413	5651    	6.444e+004	17.64   
49.67   	0.001002	5716    	6.557e+004	17.47   
53.88   	0.0002697	5736    	6.592e+004	17.54   
57.85   	6.422e-005	5742    	6.602e+004	17.92   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	19.95   	786.7   	976.3   	1.241   
5.827   	0.1834  	1003    	2413    	6.641   
8.08    	0.1255  	1264    	5792    	12.94   
13.8    	0.0637  	1615    	1.082e+004	14.33   
